round,modality,class_id,acc,support
200,agent_0,15,1.0,11
200,agent_0,16,1.0,11
200,agent_0,17,1.0,6
200,agent_0,18,1.0,5
200,agent_0,19,1.0,4
200,agent_0,20,1.0,3
200,agent_0,21,1.0,7
200,agent_0,22,1.0,4
200,agent_0,23,1.0,2
200,agent_0,24,1.0,9
200,agent_0,25,1.0,2
200,agent_0,26,1.0,9
200,agent_0,27,1.0,3

200,agent_1,0,0.8888888888888888,9
200,agent_1,1,0.9,10
200,agent_1,2,0.7692307692307693,13
200,agent_1,3,0.5,10
200,agent_1,4,0.75,8
200,agent_1,5,1.0,12
200,agent_1,6,0.9090909090909091,11
200,agent_1,7,0.875,8
200,agent_1,8,1.0,12
200,agent_1,9,0.7777777777777778,9
200,agent_1,10,0.9090909090909091,11
200,agent_1,11,0.5,6
200,agent_1,12,0.0,0
200,agent_1,13,1.0,2
200,agent_1,14,1.0,4
200,agent_1,15,1.0,11
200,agent_1,16,0.9090909090909091,11
200,agent_1,17,0.8333333333333334,6
200,agent_1,18,0.8,5
200,agent_1,19,1.0,4
200,agent_1,20,0.6666666666666666,3
200,agent_1,21,0.8571428571428571,7
200,agent_1,22,0.75,4
200,agent_1,23,1.0,2
200,agent_1,24,0.8888888888888888,9
200,agent_1,25,1.0,2
200,agent_1,26,0.8888888888888888,9
200,agent_1,27,0.6666666666666666,3

300,fusion,0,0.35714285714285715,14
300,fusion,1,0.45,20
300,fusion,2,0.47058823529411764,17
300,fusion,3,0.25,12
300,fusion,4,0.07692307692307693,13
300,fusion,5,0.0,12
300,fusion,6,0.8333333333333334,12
300,fusion,7,0.5714285714285714,14
300,fusion,8,0.3333333333333333,15
300,fusion,9,0.0,11
300,fusion,10,0.38461538461538464,13
300,fusion,11,0.0,10
300,fusion,12,0.0,0
300,fusion,13,0.0,3
300,fusion,14,0.0,8
300,fusion,15,0.4,15
300,fusion,16,0.5625,16
300,fusion,17,0.7058823529411765,17
300,fusion,18,0.0,8
300,fusion,19,0.0,4
300,fusion,20,0.0,4
300,fusion,21,0.0,13
300,fusion,22,0.0,4
300,fusion,23,0.0,4
300,fusion,24,0.5,14
300,fusion,25,0.0,6
300,fusion,26,0.8333333333333334,12
300,fusion,27,0.3,10

300,agent_0,0,1.0,14
300,agent_0,1,1.0,20
300,agent_0,2,1.0,17
300,agent_0,3,0.9166666666666666,12
300,agent_0,4,1.0,13
300,agent_0,5,1.0,12
300,agent_0,6,1.0,12
300,agent_0,7,1.0,14
300,agent_0,8,1.0,15
300,agent_0,9,1.0,11
300,agent_0,10,1.0,13
300,agent_0,11,1.0,10
300,agent_0,12,0.0,0
300,agent_0,13,1.0,3
300,agent_0,14,1.0,8
300,agent_0,15,1.0,15
300,agent_0,16,1.0,16
300,agent_0,17,0.9411764705882353,17
300,agent_0,18,1.0,8
300,agent_0,19,1.0,4
300,agent_0,20,1.0,4
300,agent_0,21,1.0,13
300,agent_0,22,1.0,4
300,agent_0,23,1.0,4
300,agent_0,24,1.0,14
300,agent_0,25,1.0,6
300,agent_0,26,1.0,12
300,agent_0,27,1.0,10

300,agent_1,0,0.8571428571428571,14
300,agent_1,1,0.95,20
300,agent_1,2,0.7647058823529411,17
300,agent_1,3,0.4166666666666667,12
300,agent_1,4,0.6923076923076923,13
300,agent_1,5,1.0,12
300,agent_1,6,0.9166666666666666,12
300,agent_1,7,0.9285714285714286,14
300,agent_1,8,0.9333333333333333,15
300,agent_1,9,0.7272727272727273,11
300,agent_1,10,0.9230769230769231,13
300,agent_1,11,0.4,10
300,agent_1,12,0.0,0
300,agent_1,13,1.0,3
300,agent_1,14,0.75,8
300,agent_1,15,1.0,15
300,agent_1,16,0.9375,16
300,agent_1,17,0.8235294117647058,17
300,agent_1,18,0.75,8
300,agent_1,19,1.0,4
300,agent_1,20,0.75,4
300,agent_1,21,0.9230769230769231,13
300,agent_1,22,0.75,4
300,agent_1,23,1.0,4
300,agent_1,24,0.8571428571428571,14
300,agent_1,25,0.6666666666666666,6
300,agent_1,26,0.9166666666666666,12
300,agent_1,27,0.5,10

400,fusion,0,0.5,18
400,fusion,1,0.5217391304347826,23
400,fusion,2,0.5714285714285714,21
400,fusion,3,0.4375,16
400,fusion,4,0.29411764705882354,17
400,fusion,5,0.2777777777777778,18
400,fusion,6,0.7777777777777778,18
400,fusion,7,0.7142857142857143,21
400,fusion,8,0.42105263157894735,19
400,fusion,9,0.0,13
400,fusion,10,0.4666666666666667,15
400,fusion,11,0.23529411764705882,17
400,fusion,12,0.0,1
400,fusion,13,0.0,6
400,fusion,14,0.0,11
400,fusion,15,0.5263157894736842,19
400,fusion,16,0.6111111111111112,18
400,fusion,17,0.75,20
400,fusion,18,0.0,10
400,fusion,19,0.0,7
400,fusion,20,0.0,6
400,fusion,21,0.2,20
400,fusion,22,0.0,5
400,fusion,23,0.16666666666666666,6
400,fusion,24,0.6111111111111112,18
400,fusion,25,0.4,10
400,fusion,26,0.875,16
400,fusion,27,0.4166666666666667,12

400,agent_0,0,1.0,18
400,agent_0,1,1.0,23
400,agent_0,2,1.0,21
400,agent_0,3,0.9375,16
400,agent_0,4,1.0,17
400,agent_0,5,0.9444444444444444,18
400,agent_0,6,1.0,18
400,agent_0,7,1.0,21
400,agent_0,8,1.0,19
400,agent_0,9,1.0,13
400,agent_0,10,1.0,15
400,agent_0,11,1.0,17
400,agent_0,12,1.0,1
400,agent_0,13,1.0,6
400,agent_0,14,1.0,11
400,agent_0,15,1.0,19
400,agent_0,16,1.0,18
400,agent_0,17,0.95,20
400,agent_0,18,1.0,10
400,agent_0,19,1.0,7
400,agent_0,20,1.0,6
400,agent_0,21,1.0,20
400,agent_0,22,1.0,5
400,agent_0,23,1.0,6
400,agent_0,24,1.0,18
400,agent_0,25,1.0,10
400,agent_0,26,0.9375,16
400,agent_0,27,1.0,12

400,agent_1,0,0.8888888888888888,18
400,agent_1,1,0.9565217391304348,23
400,agent_1,2,0.7619047619047619,21
400,agent_1,3,0.3125,16
400,agent_1,4,0.7058823529411765,17
400,agent_1,5,0.9444444444444444,18
400,agent_1,6,0.7222222222222222,18
400,agent_1,7,0.9047619047619048,21
400,agent_1,8,0.8947368421052632,19
400,agent_1,9,0.7692307692307693,13
400,agent_1,10,0.9333333333333333,15
400,agent_1,11,0.47058823529411764,17
400,agent_1,12,1.0,1
400,agent_1,13,1.0,6
400,agent_1,14,0.8181818181818182,11
400,agent_1,15,1.0,19
400,agent_1,16,0.9444444444444444,18
400,agent_1,17,0.85,20
400,agent_1,18,0.8,10
400,agent_1,19,1.0,7
400,agent_1,20,0.8333333333333334,6
400,agent_1,21,0.95,20
400,agent_1,22,0.8,5
400,agent_1,23,0.8333333333333334,6
400,agent_1,24,0.8888888888888888,18
400,agent_1,25,0.8,10
400,agent_1,26,0.875,16
400,agent_1,27,0.5833333333333334,12

500,fusion,0,0.5,18
500,fusion,1,0.56,25
500,fusion,2,0.625,24
500,fusion,3,0.5714285714285714,21
500,fusion,4,0.42857142857142855,21
500,fusion,5,0.36363636363636365,22
500,fusion,6,0.8260869565217391,23
500,fusion,7,0.7692307692307693,26
500,fusion,8,0.5416666666666666,24
500,fusion,9,0.0,15
500,fusion,10,0.5263157894736842,19
500,fusion,11,0.34782608695652173,23
500,fusion,12,0.8333333333333334,6
500,fusion,13,0.0,7
500,fusion,14,0.26666666666666666,15
500,fusion,15,0.6538461538461539,26
500,fusion,16,0.65,20
500,fusion,17,0.8076923076923077,26
500,fusion,18,0.08333333333333333,12
500,fusion,19,0.3,10
500,fusion,20,0.0,9
500,fusion,21,0.3333333333333333,24
500,fusion,22,0.0,7
500,fusion,23,0.4444444444444444,9
500,fusion,24,0.65,20
500,fusion,25,0.5333333333333333,15
500,fusion,26,0.8823529411764706,17
500,fusion,27,0.5882352941176471,17

500,agent_0,0,1.0,18
500,agent_0,1,1.0,25
500,agent_0,2,1.0,24
500,agent_0,3,0.9523809523809523,21
500,agent_0,4,1.0,21
500,agent_0,5,0.9545454545454546,22
500,agent_0,6,1.0,23
500,agent_0,7,1.0,26
500,agent_0,8,1.0,24
500,agent_0,9,1.0,15
500,agent_0,10,1.0,19
500,agent_0,11,1.0,23
500,agent_0,12,1.0,6
500,agent_0,13,1.0,7
500,agent_0,14,1.0,15
500,agent_0,15,1.0,26
500,agent_0,16,1.0,20
500,agent_0,17,0.9615384615384616,26
500,agent_0,18,1.0,12
500,agent_0,19,1.0,10
500,agent_0,20,1.0,9
500,agent_0,21,1.0,24
500,agent_0,22,1.0,7
500,agent_0,23,1.0,9
500,agent_0,24,1.0,20
500,agent_0,25,1.0,15
500,agent_0,26,0.9411764705882353,17
500,agent_0,27,1.0,17

500,agent_1,0,0.8888888888888888,18
500,agent_1,1,0.96,25
500,agent_1,2,0.7916666666666666,24
500,agent_1,3,0.38095238095238093,21
500,agent_1,4,0.7619047619047619,21
500,agent_1,5,0.9090909090909091,22
500,agent_1,6,0.7391304347826086,23
500,agent_1,7,0.9230769230769231,26
500,agent_1,8,0.9166666666666666,24
500,agent_1,9,0.8,15
500,agent_1,10,0.8947368421052632,19
500,agent_1,11,0.391304347826087,23
500,agent_1,12,1.0,6
500,agent_1,13,1.0,7
500,agent_1,14,0.8666666666666667,15
500,agent_1,15,1.0,26
500,agent_1,16,0.95,20
500,agent_1,17,0.8846153846153846,26
500,agent_1,18,0.75,12
500,agent_1,19,1.0,10
500,agent_1,20,0.6666666666666666,9
500,agent_1,21,0.9583333333333334,24
500,agent_1,22,0.5714285714285714,7
500,agent_1,23,0.8888888888888888,9
500,agent_1,24,0.9,20
500,agent_1,25,0.7333333333333333,15
500,agent_1,26,0.8823529411764706,17
500,agent_1,27,0.6470588235294118,17

600,fusion,0,0.5714285714285714,21
600,fusion,1,0.5384615384615384,26
600,fusion,2,0.6666666666666666,27
600,fusion,3,0.64,25
600,fusion,4,0.5555555555555556,27
600,fusion,5,0.48148148148148145,27
600,fusion,6,0.8571428571428571,28
600,fusion,7,0.8,30
600,fusion,8,0.6206896551724138,29
600,fusion,9,0.2,20
600,fusion,10,0.6086956521739131,23
600,fusion,11,0.41379310344827586,29
600,fusion,12,0.9,10
600,fusion,13,0.0,8
600,fusion,14,0.42105263157894735,19
600,fusion,15,0.6785714285714286,28
600,fusion,16,0.6956521739130435,23
600,fusion,17,0.8484848484848485,33
600,fusion,18,0.07692307692307693,13
600,fusion,19,0.3,10
600,fusion,20,0.0,9
600,fusion,21,0.4838709677419355,31
600,fusion,22,0.0,8
600,fusion,23,0.5,10
600,fusion,24,0.72,25
600,fusion,25,0.5882352941176471,17
600,fusion,26,0.9130434782608695,23
600,fusion,27,0.6818181818181818,22

600,agent_0,0,1.0,21
600,agent_0,1,1.0,26
600,agent_0,2,1.0,27
600,agent_0,3,0.96,25
600,agent_0,4,1.0,27
600,agent_0,5,0.9629629629629629,27
600,agent_0,6,1.0,28
600,agent_0,7,1.0,30
600,agent_0,8,1.0,29
600,agent_0,9,0.95,20
600,agent_0,10,1.0,23
600,agent_0,11,1.0,29
600,agent_0,12,1.0,10
600,agent_0,13,1.0,8
600,agent_0,14,1.0,19
600,agent_0,15,1.0,28
600,agent_0,16,1.0,23
600,agent_0,17,0.9696969696969697,33
600,agent_0,18,1.0,13
600,agent_0,19,1.0,10
600,agent_0,20,1.0,9
600,agent_0,21,1.0,31
600,agent_0,22,1.0,8
600,agent_0,23,1.0,10
600,agent_0,24,1.0,25
600,agent_0,25,1.0,17
600,agent_0,26,0.9565217391304348,23
600,agent_0,27,1.0,22

600,agent_1,0,0.9047619047619048,21
600,agent_1,1,0.9230769230769231,26
600,agent_1,2,0.8148148148148148,27
600,agent_1,3,0.44,25
600,agent_1,4,0.7777777777777778,27
600,agent_1,5,0.9259259259259259,27
600,agent_1,6,0.7142857142857143,28
600,agent_1,7,0.9333333333333333,30
600,agent_1,8,0.896551724137931,29
600,agent_1,9,0.8,20
600,agent_1,10,0.9130434782608695,23
600,agent_1,11,0.3793103448275862,29
600,agent_1,12,1.0,10
600,agent_1,13,0.875,8
600,agent_1,14,0.8947368421052632,19
600,agent_1,15,1.0,28
600,agent_1,16,0.9565217391304348,23
600,agent_1,17,0.8484848484848485,33
600,agent_1,18,0.7692307692307693,13
600,agent_1,19,1.0,10
600,agent_1,20,0.6666666666666666,9
600,agent_1,21,0.967741935483871,31
600,agent_1,22,0.625,8
600,agent_1,23,0.9,10
600,agent_1,24,0.92,25
600,agent_1,25,0.7647058823529411,17
600,agent_1,26,0.9130434782608695,23
600,agent_1,27,0.7272727272727273,22

700,fusion,0,0.64,25
700,fusion,1,0.5862068965517241,29
700,fusion,2,0.71875,32
700,fusion,3,0.7,30
